2024-02-01 20:07:43,133 p=62 u=avd n=ansible | PLAY [Manage Arista EOS EVPN/VXLAN Configuration] *********************************************************************************************************************
2024-02-01 20:07:43,236 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Cleanup existing folders in /home/avd/projects/inventory/intended] ************************************************************
2024-02-01 20:07:43,763 p=62 u=avd n=ansible | changed: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:43,770 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder /home/avd/projects/inventory/intended] **************************************************************************
2024-02-01 20:07:44,052 p=62 u=avd n=ansible | changed: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:44,056 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder structured_configs for structured YAML files] *******************************************************************
2024-02-01 20:07:44,329 p=62 u=avd n=ansible | changed: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:44,333 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder configs for EOS Configuration files] ****************************************************************************
2024-02-01 20:07:44,599 p=62 u=avd n=ansible | changed: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:44,603 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder cvp for CVP structured YAML files] ******************************************************************************
2024-02-01 20:07:44,879 p=62 u=avd n=ansible | changed: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:44,883 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create documentation folder: documentation] ***********************************************************************************
2024-02-01 20:07:45,150 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:45,155 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder fabric for Fabric documentation] ********************************************************************************
2024-02-01 20:07:45,428 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:45,432 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder devices for EOS documentation] **********************************************************************************
2024-02-01 20:07:45,701 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:45,706 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder /home/avd/projects/inventory/config_backup for EOS post backup dir] *********************************************
2024-02-01 20:07:45,981 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:45,987 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder /home/avd/projects/inventory/config_backup for EOS pre backup dir] **********************************************
2024-02-01 20:07:46,256 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:46,261 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create folder reports for EOS state report dir] *******************************************************************************
2024-02-01 20:07:46,533 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:46,537 p=62 u=avd n=ansible | TASK [arista.avd.build_output_folders : Create output directory for each EOS device] **********************************************************************************
2024-02-01 20:07:46,805 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:46,906 p=62 u=avd n=ansible | TASK [arista.avd.eos_designs : Verify Requirements] *******************************************************************************************************************
2024-02-01 20:07:46,963 p=62 u=avd n=ansible | AVD version 4.6.0-dev2
2024-02-01 20:07:46,963 p=62 u=avd n=ansible | Use -v for details.
2024-02-01 20:07:46,990 p=62 u=avd n=ansible | ok: [RE-AVD-Spine1 -> localhost]
2024-02-01 20:07:47,008 p=62 u=avd n=ansible | TASK [arista.avd.eos_designs : Create required output directories if not present] *************************************************************************************
