Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet1,spine,RE-AVD-Spine1,Ethernet5,True
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet2,spine,RE-AVD-Spine2,Ethernet5,True
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet3,spine,RE-AVD-Spine3,Ethernet5,True
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet4,spine,RE-AVD-Spine4,Ethernet5,True
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet5,mlag_peer,RE-AVD-BrdrLeaf1B,Ethernet5,True
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet6,mlag_peer,RE-AVD-BrdrLeaf1B,Ethernet6,True
l3leaf,RE-AVD-BrdrLeaf1A,Ethernet7,l3_interface,,,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet1,spine,RE-AVD-Spine1,Ethernet6,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet2,spine,RE-AVD-Spine2,Ethernet6,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet3,spine,RE-AVD-Spine3,Ethernet6,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet4,spine,RE-AVD-Spine4,Ethernet6,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet5,mlag_peer,RE-AVD-BrdrLeaf1A,Ethernet5,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet6,mlag_peer,RE-AVD-BrdrLeaf1A,Ethernet6,True
l3leaf,RE-AVD-BrdrLeaf1B,Ethernet7,l3_interface,,,True
l2leaf,RE-AVD-L2Leaf1A,Ethernet1,l3leaf,RE-AVD-Leaf1A,Ethernet7,True
l2leaf,RE-AVD-L2Leaf1A,Ethernet2,l3leaf,RE-AVD-Leaf1B,Ethernet7,True
l2leaf,RE-AVD-L2Leaf1A,Ethernet3,mlag_peer,RE-AVD-L2Leaf1B,Ethernet3,True
l2leaf,RE-AVD-L2Leaf1A,Ethernet4,mlag_peer,RE-AVD-L2Leaf1B,Ethernet4,True
l2leaf,RE-AVD-L2Leaf1A,Ethernet5,server,Host1,Ethernet1,True
l2leaf,RE-AVD-L2Leaf1A,Ethernet6,server,Host3,ens3,True
