Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,avd-test-Leaf1A,Ethernet1,spine,avd-test-Spine1,Ethernet1,True
l3leaf,avd-test-Leaf1A,Ethernet2,spine,avd-test-Spine2,Ethernet1,True
l3leaf,avd-test-Leaf1A,Ethernet3,spine,avd-test-Spine3,Ethernet1,True
l3leaf,avd-test-Leaf1A,Ethernet4,spine,avd-test-Spine4,Ethernet1,True
l3leaf,avd-test-Leaf1A,Ethernet5,mlag_peer,avd-test-Leaf1B,Ethernet5,True
l3leaf,avd-test-Leaf1A,Ethernet7,server,exa01,ntx01_to_leaf1b,True
l3leaf,avd-test-Leaf1A,Ethernet8,server,ntx01,ntx01_to_leaf1b,True
l3leaf,avd-test-Leaf1B,Ethernet1,spine,avd-test-Spine1,Ethernet2,True
l3leaf,avd-test-Leaf1B,Ethernet2,spine,avd-test-Spine2,Ethernet2,True
l3leaf,avd-test-Leaf1B,Ethernet3,spine,avd-test-Spine3,Ethernet2,True
l3leaf,avd-test-Leaf1B,Ethernet4,spine,avd-test-Spine4,Ethernet2,True
l3leaf,avd-test-Leaf1B,Ethernet5,mlag_peer,avd-test-Leaf1A,Ethernet5,True
l3leaf,avd-test-Leaf1B,Ethernet8,server,ntx01,ntx01_to_leaf1b,True
l3leaf,avd-test-Leaf2A,Ethernet1,spine,avd-test-Spine1,Ethernet3,True
l3leaf,avd-test-Leaf2A,Ethernet2,spine,avd-test-Spine2,Ethernet3,True
l3leaf,avd-test-Leaf2A,Ethernet3,spine,avd-test-Spine3,Ethernet3,True
l3leaf,avd-test-Leaf2A,Ethernet4,spine,avd-test-Spine4,Ethernet3,True
l3leaf,avd-test-Leaf2A,Ethernet5,mlag_peer,avd-test-Leaf2B,Ethernet5,True
l3leaf,avd-test-Leaf2A,Ethernet7,server,ntx02,ntx01_to_leaf2b,True
l3leaf,avd-test-Leaf2B,Ethernet1,spine,avd-test-Spine1,Ethernet4,True
l3leaf,avd-test-Leaf2B,Ethernet2,spine,avd-test-Spine2,Ethernet4,True
l3leaf,avd-test-Leaf2B,Ethernet3,spine,avd-test-Spine3,Ethernet4,True
l3leaf,avd-test-Leaf2B,Ethernet4,spine,avd-test-Spine4,Ethernet4,True
l3leaf,avd-test-Leaf2B,Ethernet5,mlag_peer,avd-test-Leaf2A,Ethernet5,True
l3leaf,avd-test-Leaf2B,Ethernet7,server,ntx02,ntx01_to_leaf2b,True
spine,avd-test-Spine1,Ethernet1,l3leaf,avd-test-Leaf1A,Ethernet1,True
spine,avd-test-Spine1,Ethernet2,l3leaf,avd-test-Leaf1B,Ethernet1,True
spine,avd-test-Spine1,Ethernet3,l3leaf,avd-test-Leaf2A,Ethernet1,True
spine,avd-test-Spine1,Ethernet4,l3leaf,avd-test-Leaf2B,Ethernet1,True
spine,avd-test-Spine2,Ethernet1,l3leaf,avd-test-Leaf1A,Ethernet2,True
spine,avd-test-Spine2,Ethernet2,l3leaf,avd-test-Leaf1B,Ethernet2,True
spine,avd-test-Spine2,Ethernet3,l3leaf,avd-test-Leaf2A,Ethernet2,True
spine,avd-test-Spine2,Ethernet4,l3leaf,avd-test-Leaf2B,Ethernet2,True
spine,avd-test-Spine3,Ethernet1,l3leaf,avd-test-Leaf1A,Ethernet3,True
spine,avd-test-Spine3,Ethernet2,l3leaf,avd-test-Leaf1B,Ethernet3,True
spine,avd-test-Spine3,Ethernet3,l3leaf,avd-test-Leaf2A,Ethernet3,True
spine,avd-test-Spine3,Ethernet4,l3leaf,avd-test-Leaf2B,Ethernet3,True
spine,avd-test-Spine4,Ethernet1,l3leaf,avd-test-Leaf1A,Ethernet4,True
spine,avd-test-Spine4,Ethernet2,l3leaf,avd-test-Leaf1B,Ethernet4,True
spine,avd-test-Spine4,Ethernet3,l3leaf,avd-test-Leaf2A,Ethernet4,True
spine,avd-test-Spine4,Ethernet4,l3leaf,avd-test-Leaf2B,Ethernet4,True
