switch,mgmt_ip,is_deployed
AMusaDFW01Cmg01-mgmt,10.68.68.2,true
AMusaDFW01Cmg02-mgmt,10.68.68.3,true
AMusaDFW01Osw101-mgmt,10.68.68.11,true
AMusaDFW01Osw102-mgmt,10.68.68.16,true
AMusaDFW01Osw103-mgmt,10.68.68.60,true
AMusaDFW01Osw104-mgmt,10.68.68.61,true
AMusaDFW01Osw107-mgmt,10.68.68.62,true
AMusaDFW01Osw110-mgmt,10.68.68.51,true
AMusaDFW01Osw111-mgmt,10.68.68.52,true
AMusaDFW01Osw112-mgmt,10.68.68.53,true
AMusaDFW01Osw120-mgmt,10.68.68.63,true
AMusaDFW01Osw121-mgmt,10.68.68.64,true
AMusaDFW01Osw122-mgmt,10.68.68.65,true
AMusaDFW01Osw123-mgmt,10.68.68.66,true
AMusaDFW01Osw124-mgmt,10.68.68.67,true
AMusaDFW01Osw125-mgmt,10.68.68.68,true
AMusaDFW01Osw126-mgmt,10.68.68.69,true
AMusaDFW01Osw127-mgmt,10.68.68.70,true
AMusaDFW01Osw128-mgmt,10.68.68.71,true
AMusaDFW01Osw129-mgmt,10.68.68.72,true
